CODIGO_ANTERIOR,NOME_ANTERIOR,NOME_SUGERIDO,GRUPO,SUBGRUPO,GRUPO_SUBGRUPO
,GUIA T-70 COMPLETA COM PARAFUSOS TALA E CLIPS,GUIA T70 COMPLETA COM CLIPS - 5M,03,01,03.01
,GUIA T-89 COMPLETA COM PARAFUSOS TALA E CLIPS,GUIA T89 COMPLETA COM CLIPS - 5M,03,01,03.01
,CABO MULTIVIAS 12X0.75MM² 750V LMP,CABO MULTIVIAS 12X0.75MM - 100M,02,01,02.01
,Cabo de Aço de Elevador 8*19S+FC 8MM - 5/16,CABO DE AÇO 8X19S+FC 8MM,03,04,03.04
,Cabo de Aço de Elevador 8*19S+FC 9.5MM - 3/8,CABO DE AÇO 8X19S+FC 9.5MM,03,04,03.04
,DISTORCEDOR DE GUIA DE ELEVADOR,DISTORCEDOR GUIA ELEVADOR,03,01,03.01
,TEMP ANALOG 0.1SEG / 240HS RET. ENERG. 110/220V,TEMPORIZADOR ANALÓGICO 0.1SEG-240HS 220V,02,02,02.02
,INVERSOR DE FREQUENCIA 12.5CV 220V TRIF WEG,INVERSOR FREQUÊNCIA WEG 12.5CV 220V,02,02,02.02
,INVERSOR DE FREQUENCIA 10CV 220V TRIF WEG,INVERSOR FREQUÊNCIA WEG 10CV 220V,02,02,02.02
,ROLO DE FIO 2.5MM PRETO 100 METROS,CABO 2.5MM PRETO - 100M,02,01,02.01
,ROLO DE FIO 2.5MM AZUL 100 METROS,CABO 2.5MM AZUL - 100M,02,01,02.01
,CABO DE 1 X 0.75 VERMELHO ROLO 100 METROS,CABO 0.75MM VERMELHO - 100M,02,01,02.01
,CABO DE 1 X 0.75 AMARELO ROLO 100 METROS,CABO 0.75MM AMARELO - 100M,02,01,02.01
,CABO DE 1 X 0.75 VERDE ROLO 100 METROS,CABO 0.75MM VERDE - 100M,02,01,02.01
,CABO DE 1 X 0.75 AZUL ROLO 100 METROS,CABO 0.75MM AZUL - 100M,02,01,02.01
,CABO PP 2 X 0.75 PRETO ROLO 100 METROS,CABO PP 2X0.75MM PRETO - 100M,02,01,02.01
,CABO PP 3 X 0.75 PRETO ROLO 100 METROS,CABO PP 3X0.75MM PRETO - 100M,02,01,02.01
,CABO PP 1 X 6.00 PRETO ROLO 100 METROS,CABO PP 6MM PRETO - 100M,02,01,02.01
,CABO PP 1 X 2.5 PRETO ROLO 100 METROS,CABO PP 2.5MM PRETO - 100M,02,01,02.01
,CABO 1 X 0.75 PRETO ROLO 100 METROS,CABO 0.75MM PRETO - 100M,02,01,02.01
,CABO 1 X 0.75 MARROM ROLO 100 METROS,CABO 0.75MM MARROM - 100M,02,01,02.01
,CABO 1 X 0.75 CINZA ROLO 100 METROS,CABO 0.75MM CINZA - 100M,02,01,02.01
,CABO 1 X 0.75 BRANCO ROLO 100 METROS,CABO 0.75MM BRANCO - 100M,02,01,02.01
,CHAPA XADREZ 3.00MM #1/8" 1200 X 3000,CHAPA XADREZ 3.00MM 1200X3000,01,01,01.01
,VIGA U 4" - 1a ALMA - 6MT (U LAMINADO),VIGA U 4" 1ª ALMA - 6M,01,02,01.02
,TUBO 30 X 30 PAREDE DE 1.20 MATERIAL PRETO 6000MM,TUBO 30X30X1.20 - 6M,01,02,01.02
,PERFIL U 3" 2.65 DE ESPESSURA - 6 METROS,PERFIL U 3" 2.65MM - 6M,01,02,01.02
,Barreira de Proteção Infravermelha (174 Feixes),BARREIRA INFRAVERMELHA 174 FEIXES,02,04,02.04
,MOTOR REDUTOR DE COROA E ROSCA SEM FIM,MOTORREDUTOR ELLO Q150 10CV,06,04,06.04
,MOTORREDUTOR ELLO Q 130 40 MF - T3A IR3 7.5CV,MOTORREDUTOR ELLO Q130 7.5CV,06,04,06.04
,GONZO COM ABA Nº 2,GONZO COM ABA Nº2,99,07,99.07
,VARÃO GRANDE,VARÃO GRANDE,99,07,99.07
,VARÃO PEQUENO,VARÃO PEQUENO,99,07,99.07
,STANLEY DUPLO 1.1/2,STANLEY DUPLO 1.1/2",99,07,99.07
,BROCA SDS PLUS 25x400x460mm,BROCA SDS PLUS 25MM,01,05,01.05
,BROCA SDS PLUS 13X150x210mm,BROCA SDS PLUS 13MM,01,05,01.05
,CJ DE TOMADA DUPLA 20A,CONJUNTO TOMADA DUPLA 20A,02,06,02.06
,LUMINARIA LED QUADRADA DE EMBUTIR 18W,LUMINÁRIA LED QUADRADA 18W,02,05,02.05
,GUIA T-70 COMPLETA COM TALA E PARAFUSOS 5 MTS,GUIA T70 COMPLETA - 5M,03,01,03.01
,GUIA T-50 COMPLETA COM TALA E PARAFUSOS 5 MTS,GUIA T50 COMPLETA - 5M,03,01,03.01
,GUIA T-89 COMPLETA COM TALA E PARAFUSOS 5 MTS,GUIA T89 COMPLETA - 5M,03,01,03.01
,PEDRA PARA ALINHAR REBOLO/ESMERIL,PEDRA ALINHAR REBOLO,99,07,99.07
,PEDRA DE CONTRAPESO 110X125X980MM - 45KG,PEDRA CONTRAPESO 45KG,03,06,03.06
,PEDRA DE CONTRAPESO 80x180x1665MM - 78KG,PEDRA CONTRAPESO 78KG,03,06,03.06
,MOTOFREIO ELLO T3A IR3 10CV,MOTOFREIO ELLO 10CV T3A IR3,06,02,06.02
,TELHA TR 25 SANDUICHE GALVALUME 0.43 EPS 30MM,TELHA TR-25 SANDUÍCHE EPS 30MM,99,05,99.05
,CARTUCHO PARA IMPRESSORA SAMSUNG M2020,CARTUCHO IMPRESSORA SAMSUNG M2020,99,05,99.05
,BARRA CHATA 1" X 1/8 6000MM - PARA PRODUÇÃO,BARRA CHATA 1"X1/8" - 6M,01,03,01.03
,ELETRODO PEGA + 3.25MM KG,ELETRODO PEGA+ 3.25MM,01,05,01.05
,PERFIL U 4" X 2.65 6000MM,PERFIL U 4" 2.65MM - 6M,01,02,01.02
,EIXO LINEAR LISO 40MM COMP 3 pçs - 2000 mm,EIXO LINEAR 40MM - 2M,01,03,01.03
