CODIGO_ANTERIOR,NOME_ANTERIOR,NOME_SUGERIDO,GRUPO,SUBGRUPO,GRUPO_SUBGRUPO
MP0154,Bate mola,BATE MOLA,05,03,05.03
MP0155,Complemento da Rampa,COMPLEMENTO RAMPA,05,03,05.03
MP0156,Mao Francesa,MÃO FRANCESA,05,03,05.03
MP0157,Reforco da Travessa,REFORÇO TRAVESSA,05,02,05.02
MP0158,Trava da corredica,TRAVA CORREDIÇA,05,03,05.03
MP0159,Complemento do operador,COMPLEMENTO OPERADOR,05,03,05.03
MP0160,Juncao da Plataforma,JUNÇÃO PLATAFORMA,05,02,05.02
MP0161,Suporte do tirante,SUPORTE TIRANTE,03,04,03.04
MP0162,Fim de curso,FINAL DE CURSO,02,04,02.04
MP0163,Piso laser,PISO LASER,05,02,05.02
MP0164,Suporte da guia,SUPORTE GUIA,03,02,03.02
MP0165,Suporte do contrapeso,SUPORTE CONTRAPESO,03,06,03.06
MP0166,Suporte de contrapeso especial,SUPORTE CONTRAPESO ESPECIAL,03,06,03.06
MP0167,Guia T50,GUIA T50 - 5M,03,01,03.01
MP0168,Guia T70,GUIA T70 - 5M,03,01,03.01
MP0169,Guia T89,GUIA T89 - 5M,03,01,03.01
MP0170,Freio completo,FREIO INSTANTÂNEO COMPLETO,03,05,03.05
MP0171,Cabo de freio 5/16,CABO DE FREIO 5/16",03,04,03.04
MP0172,Cabo de manobra,CABO DE MANOBRA,03,04,03.04
MP0173,Limitador + polia 0.75,LIMITADOR VELOCIDADE + POLIA 0.75,03,05,03.05
MP0174,Luminaria,LUMINÁRIA CABINA,02,05,02.05
MP0175,Ventilador,VENTILADOR CABINA 220V,02,05,02.05
