CODIGO_ANTERIOR,NOME_ANTERIOR,NOME_SUGERIDO,GRUPO,SUBGRUPO,GRUPO_SUBGRUPO
,UNIDUTE ALUM. CONICO 3/4",UNIDUTE ALUMÍNIO CÔNICO 3/4",02,06,02.06
,ELETRODUTO PVC RIG 3/4" PT BR.3MT,ELETRODUTO PVC 3/4" - 3M,02,06,02.06
,ABRACADEIRA ACO TIPO D C/CUNHA 3/4",ABRAÇADEIRA AÇO 3/4",02,06,02.06
,COJ ARIA C/ INTERRUPTOR SIMPLES - SALA BINHO,CONJUNTO ARIA INTERRUPTOR SIMPLES,02,06,02.06
,CONJ ARIA C/3 TOMADAS 10A - SALA BINHO,CONJUNTO ARIA 3 TOMADAS 10A,02,06,02.06
,LAMPADA LED 12W - SALA BINHO,LÂMPADA LED 12W,02,05,02.05
,TOMADA 20A - SALA BINHO,TOMADA 20A,02,06,02.06
,MODULO ARIA 1 TOMADA 20A - SALA BINHO,MÓDULO ARIA 1 TOMADA 20A,02,06,02.06
,PLACA ARIA 4X3 - SALA BINHO,PLACA ARIA 4X3,02,06,02.06
,PLACA ARIA 4X4 - SALA BINHO,PLACA ARIA 4X4,02,06,02.06
,BOCAL PARA LAMPADA - SALA BINHO,BOCAL PARA LÂMPADA,02,06,02.06
,CONTATOR STECK SK132A10M 3P 32A 220VCA 1NA,CONTATOR 32A 220V 3P,02,02,02.02
,CONTATOR STECK SK140 3P 1NA+1NF 660V BOB 220V,CONTATOR 40A 660V 3P,02,02,02.02
,CONTATOR STECK SK150 3P 1NA+1NF 660V BOB 220V,CONTATOR 50A 660V 3P,02,02,02.02
,FITA DUPLA FACE 3M FORTE TRANSP 12MM X 5M,FITA DUPLA FACE 3M 12MMX5M,99,05,99.05
,FITA ISOLANTE 3M IMPERIAL 20M,FITA ISOLANTE 3M 20M,02,06,02.06
,FUSIVEL VIDRO 20AG 10.00A,FUSÍVEL VIDRO 10A,02,06,02.06
,BARRA ROSCADA WW 1/2 X 3MT ZN,BARRA ROSCADA 1/2" - 3M ZINCADA,01,03,01.03
,PORCA SEXT 1/2 ZN,PORCA SEXTAVADA 1/2" ZINCADA,01,04,01.04
,Porta de cabina deslizante horizontal automática,PORTA CABINA DESLIZANTE 1000X2000MM AÇO INOX,04,01,04.01
,Porta pavimento deslizante horizontal automática,PORTA PAVIMENTO DESLIZANTE 1000X2000MM AÇO INOX,04,02,04.02
,CHAPA XADREZ 3.00MM #1/8" 120X3000,CHAPA XADREZ 3.00MM 1200X3000,01,01,01.01
,CLIPS DE GUIA T50,CLIPS GUIA T50,03,01,03.01
,GARRAFÃO TERMICO 5 LITROS - PARA USAR EM OBRAS,GARRAFÃO TÉRMICO 5L,99,05,99.05
,CINTO PARAQUEDISTA,CINTO PARAQUEDISTA,99,01,99.01
,TALABARTE PARA CINTO PARAQUEDISTA,TALABARTE PARAQUEDISTA,99,01,99.01
,CAPACETE COM JUGULAR,CAPACETE COM JUGULAR,99,01,99.01
,CABO DE AÇO 1.5MM 6X7 AA GALV,CABO DE AÇO 1.5MM 6X7 GALVANIZADO,03,04,03.04
,GRAMPO LEVE 5/16 (PARA CABO DE AÇO),CLIPS CABO DE AÇO 5/16",03,04,03.04
,FINAL DE CURSO LXK P145,FINAL DE CURSO LXK P145,02,04,02.04
,CHAVE FIM DE CURSO - LXP1 120 1/T,FINAL DE CURSO LXP1-120,02,04,02.04
,DISCO DE CORTE POLICORTE,DISCO DE CORTE POLICORTE,01,05,01.05
,ELETRODO 3.25,ELETRODO 3.25MM,01,05,01.05
,DISCO DE CORTE 4",DISCO DE CORTE 4",01,05,01.05
,DISCO DE CORTE 7",DISCO DE CORTE 7",01,05,01.05
,DISCO FLAP 4",DISCO FLAP 4",01,05,01.05
,TIRANTE COMPLETO 3/8,TIRANTE COMPLETO 3/8",03,04,03.04
,GRAMPO PARA CABO DE AÇO 3/8,CLIPS CABO DE AÇO 3/8",03,04,03.04
,PARAFUSO FERRO MAQUINA BSW PANELA PHILIPS 3/16X2.1/2,PARAFUSO PANELA PHILIPS 3/16"X2.1/2",01,04,01.04
,PARAFUSO FERRO MAQUINA UNC SEXTAVADO 1/4X7/8,PARAFUSO SEXTAVADO 1/4"X7/8",01,04,01.04
,PORCA FERRO MAQUINA UNC SEXTAVADO 1/4 ZINCADO,PORCA SEXTAVADA 1/4" ZINCADA,01,04,01.04
,PORCA FERRO MAQUINA UNC TRAVANTE NYLON 1/2,PORCA TRAVANTE NYLON 1/2" ZINCADA,01,04,01.04
,ARRUELA FERRO PRESSAO 1/2 ZINCADO BRANCO,ARRUELA PRESSÃO 1/2" ZINCADA,01,04,01.04
,PC12L11002280I - Porta de cabina completa 2 folhas,PORTA CABINA HYDRA 12L 1100X2280MM INOX,04,01,04.01
,KSAE2PPB90FS11L110200I441 - Augusta Evo 2.0,PORTA PAVIMENTO AUGUSTA EVO 1100X2000MM INOX,04,02,04.02
,PC12L09002280I - Porta de cabina completa inox,PORTA CABINA HYDRA 12L 900X2280MM INOX,04,01,04.01
,KSAE2PPB90FS11L90210I441 - Augusta Evo lateral esq,PORTA PAVIMENTO AUGUSTA EVO 900X2100MM INOX ESQ,04,02,04.02
,KSAE2PPB90FS11L90210AC - Augusta Evo lateral esq,PORTA PAVIMENTO AUGUSTA EVO 900X2100MM AÇO ESQ,04,02,04.02
,CALÇO DE BORRACHA PARA CORREDIÇA BINÓCULO,CALÇO BORRACHA CORREDIÇA,03,02,03.02
,CALÇO DE METAL PARA CORREDIÇA BINÓCULO,CALÇO METAL CORREDIÇA,03,02,03.02
,LIMITADOR VELOCIDADE BIDIRECIONAL 0.75-45M/MIN,LIMITADOR VELOCIDADE 0.75-45M/MIN BIDIRECIONAL,03,05,03.05
,POLIA TENSORA PARA LIMITADOR BIDIRECIONAL,POLIA TENSORA LIMITADOR 5/16",03,05,03.05
,GUIA COMPLETA REFILADA COM TALA E PARAFUSOS T70,GUIA T70 COMPLETA REFILADA - 5M,03,01,03.01
,GUIA COMPLETA REFILADA COM TALA E PARAFUSOS T50,GUIA T50 COMPLETA REFILADA - 5M,03,01,03.01
,CH 430 1.20 X 1200/1270 X 3000 ESC A-240,CHAPA INOX 430 1.20MM 1200X3000 ESCOVADA,01,01,01.01
,VIGA - WI 150 X 13 X 6MTS,VIGA WI 150X13 - 6M,01,02,01.02
,VARETA GRANDE PARA PORTA PANTOGRÁFICA,VARETA PORTA PANTOGRÁFICA GRANDE,04,03,04.03
,MAQUINA DE TRACAO AKIS MF1 800KG 7.5KW,MÁQUINA TRAÇÃO AKIS MF1 800KG 7.5KW,06,03,06.03
,GUIA STALEY 1.1/2 X 1.55 X 6M,GUIA STANLEY 1.1/2"X1.55" - 6M,03,01,03.01
,CHAPA DE FERRO SAE 1020 - BOLACHA,CHAPA AÇO SAE 1020 (BOLACHA),01,01,01.01
,BARRA ROSCADA ZN NC 1/2 3M,BARRA ROSCADA 1/2" - 3M ZINCADA,01,03,01.03
,PARAFUSO MAQ PA PH 3/16 X 2.1/2,PARAFUSO PANELA PHILIPS 3/16"X2.1/2",01,04,01.04
,ANEL ELASTICO EIXO D 471 E45,ANEL ELÁSTICO EIXO E45,03,03,03.03
,ROLAMENTO 6208-2RS1 SKF,ROLAMENTO 6208-2RS1 SKF,03,03,03.03
,QUADRO DE COMANDO MCXR-VF MA (15HP 220V 47A),QUADRO COMANDO MCXR-VF 15HP 220V,02,02,02.02
,SELETOR MCX/MCXR ELEVADOR 7P,SELETOR MCX/MCXR 7P,02,03,02.03
,IPD MATRIZ PMC-02-VM 16P 55MM,IPD MATRIZ PMC-02-VM 16P,02,03,02.03
,IPD ALFAN. PBSX-VM SMD 20MM,IPD ALFAN PBSX-VM 20MM,02,03,02.03
,LIMITADOR DE VELOCIDADE 60M/MIN BIDIRECIONAL,LIMITADOR VELOCIDADE 60M/MIN BIDIRECIONAL,03,05,03.05
,POLIA TENSORA PARA LIMITADOR BIDIRECIONAL,POLIA TENSORA LIMITADOR 5/16",03,05,03.05
